"utc","process_count","cpu_seconds","private_bytes","working_set_bytes","handles"
"2026-09-07T04:49:57.7830880Z","11","21072.84375","838815744","785039360","5240"
"2026-09-07T04:49:59.3121517Z","11","21073.109375","838725632","784998400","5236"
"2026-09-07T04:50:00.8032578Z","11","21073.390625","838717440","784990208","5236"
"2026-09-07T04:50:02.2463189Z","11","21073.609375","838717440","784990208","5236"
"2026-09-07T04:50:03.6803027Z","11","21073.71875","838717440","784990208","5236"
"2026-09-07T04:50:05.1154161Z","11","21073.90625","838647808","784912384","5236"
"2026-09-07T04:50:06.5621969Z","11","21074.09375","838651904","784916480","5236"
"2026-09-07T04:50:08.1605974Z","11","21074.421875","838627328","784908288","5236"
"2026-09-07T04:50:09.6388920Z","11","21074.859375","838660096","784924672","5236"
"2026-09-07T04:50:11.1469397Z","11","21075.140625","838660096","784920576","5236"
"2026-09-07T04:50:12.6389500Z","11","21075.390625","838664192","784924672","5236"
"2026-09-07T04:50:14.0808670Z","11","21075.578125","838668288","784928768","5236"
"2026-09-07T04:50:15.5559390Z","11","21075.78125","838676480","784941056","5236"
"2026-09-07T04:50:17.0448993Z","11","21075.984375","838680576","784945152","5236"
"2026-09-07T04:50:18.5747758Z","11","21076.25","838688768","784953344","5236"
"2026-09-07T04:50:20.0972557Z","11","21076.5625","838692864","784953344","5236"
"2026-09-07T04:50:21.5498740Z","11","21076.796875","838696960","784957440","5236"
"2026-09-07T04:50:22.9801291Z","11","21077","838713344","784977920","5236"
"2026-09-07T04:50:24.4020227Z","11","21077.140625","838713344","784977920","5236"
"2026-09-07T04:50:25.8397241Z","11","21077.328125","838807552","785096704","5236"
"2026-09-07T04:50:27.2633280Z","11","21077.59375","838713344","785002496","5236"
"2026-09-07T04:50:28.6795774Z","11","21077.703125","838717440","785010688","5236"
"2026-09-07T04:50:30.0786573Z","11","21077.875","838651904","784916480","5236"
"2026-09-07T04:50:31.5346976Z","11","21078.125","838651904","784916480","5236"
"2026-09-07T04:50:33.1339224Z","11","21078.34375","838651904","784916480","5236"
"2026-09-07T04:50:34.7832051Z","11","21078.65625","838651904","784916480","5236"
"2026-09-07T04:50:36.3670306Z","11","21078.953125","838651904","784916480","5236"
"2026-09-07T04:50:37.7982679Z","11","21079.078125","838643712","784908288","5236"
"2026-09-07T04:50:39.2031313Z","11","21079.265625","838643712","784908288","5236"
"2026-09-07T04:50:40.6482643Z","11","21079.421875","838647808","784912384","5236"
"2026-09-07T04:50:42.0741738Z","11","21079.609375","838656000","784920576","5238"
"2026-09-07T04:50:43.4630818Z","11","21079.828125","838660096","784928768","5238"
"2026-09-07T04:50:44.8654139Z","11","21079.96875","838668288","784936960","5238"
"2026-09-07T04:50:46.3004901Z","11","21080.15625","838672384","784941056","5238"
"2026-09-07T04:50:47.7243044Z","11","21080.328125","838672384","784941056","5238"
"2026-09-07T04:50:49.1463792Z","11","21080.5","838680576","784949248","5238"
"2026-09-07T04:50:50.5464190Z","11","21080.6875","838688768","784957440","5238"
"2026-09-07T04:50:51.9493293Z","11","21080.859375","838791168","785043456","5238"
"2026-09-07T04:50:53.3881727Z","11","21081.046875","838696960","784949248","5238"
"2026-09-07T04:50:54.7922138Z","11","21081.171875","838696960","784949248","5238"
"2026-09-07T04:50:56.1847636Z","11","21081.296875","838656000","784932864","5238"
"2026-09-07T04:50:57.5833368Z","11","21081.4375","838717440","784969728","5238"
"2026-09-07T04:50:59.0379116Z","11","21081.5625","838680576","784924672","5238"
"2026-09-07T04:51:00.4656132Z","11","21081.796875","838692864","784936960","5238"
"2026-09-07T04:51:01.8802309Z","11","21082.03125","838615040","784850944","5238"
"2026-09-07T04:51:03.4134500Z","11","21082.3125","838615040","784850944","5238"
"2026-09-07T04:51:04.9546935Z","11","21082.71875","838615040","784850944","5238"
"2026-09-07T04:51:06.3960626Z","11","21082.96875","838590464","784838656","5238"
"2026-09-07T04:51:07.8457812Z","11","21083.1875","838565888","784830464","5238"
"2026-09-07T04:51:09.2988604Z","11","21083.40625","838594560","784842752","5238"
"2026-09-07T04:51:10.7444642Z","11","21083.640625","838602752","784850944","5238"
"2026-09-07T04:51:12.2221380Z","11","21083.859375","838610944","784859136","5239"
"2026-09-07T04:51:13.6358707Z","11","21083.984375","838615040","784863232","5238"
"2026-09-07T04:51:15.1208063Z","11","21084.171875","838615040","784859136","5238"
"2026-09-07T04:51:16.5683918Z","11","21084.34375","838623232","784867328","5238"
"2026-09-07T04:51:18.0302677Z","11","21084.5","838598656","784859136","5238"
"2026-09-07T04:51:19.4296838Z","11","21084.671875","838664192","784936960","5238"
"2026-09-07T04:51:20.8262120Z","11","21084.84375","838668288","784945152","5238"
"2026-09-07T04:51:22.2354154Z","11","21085.0625","838680576","784957440","5238"
"2026-09-07T04:51:23.8094843Z","11","21085.296875","838684672","784961536","5238"
"2026-09-07T04:51:25.2552840Z","11","21085.53125","838533120","784801792","5238"
"2026-09-07T04:51:26.6819033Z","11","21085.734375","838586368","784830464","5238"
"2026-09-07T04:51:28.1283025Z","11","21085.9375","838586368","784830464","5238"
"2026-09-07T04:51:29.5832304Z","11","21086.125","838586368","784830464","5238"
"2026-09-07T04:51:31.0814709Z","11","21086.328125","838586368","784826368","5238"
"2026-09-07T04:51:32.4780243Z","11","21086.484375","838582272","784826368","5238"
"2026-09-07T04:51:33.8855787Z","11","21086.65625","838586368","784830464","5238"
"2026-09-07T04:51:35.3016870Z","11","21086.859375","838594560","784838656","5238"
"2026-09-07T04:51:36.7345772Z","11","21086.984375","838598656","784842752","5238"
"2026-09-07T04:51:38.2032568Z","11","21087.171875","838602752","784846848","5238"
"2026-09-07T04:51:39.6294385Z","11","21087.375","838610944","784855040","5238"
"2026-09-07T04:51:41.0483156Z","11","21087.625","838619136","784863232","5238"
"2026-09-07T04:51:42.5693233Z","11","21087.953125","838631424","784883712","5238"
"2026-09-07T04:51:44.0376210Z","11","21088.09375","838639616","784891904","5238"
